scenario,planner,paired_scenes,f@5_auc,f@5_auc_ci95,recall@5_auc,recall@5_auc_ci95,target_recall@5_auc,target_recall@5_auc_ci95,final_target_recall@5,final_target_recall@5_ci95,target_first_25_step,target_first_25_step_ci95,post_outlier_oracle_regret,post_outlier_oracle_regret_ci95,post_outlier_f@5_auc,post_outlier_f@5_auc_ci95,post_outlier_unique_gain,post_outlier_unique_gain_ci95,ghost_ratio,ghost_ratio_ci95,miss_direction_selection_rate,miss_direction_selection_rate_ci95,planning_time_s,planning_time_s_ci95,mean_visibility_ratio,mean_visibility_ratio_ci95,mean_pose_error_deg,mean_pose_error_deg_ci95,mean_translation_error_mm,mean_translation_error_mm_ci95
hole,pose_novelty,64,0.7874181377496919,0.007338550127313777,0.6809401562499999,0.009900196860165135,0.5798377010321163,0.01168891678608275,0.8793294982539053,0.013932021359970332,1.25,0.10692676621563625,0.00695572867020823,0.001561211113706463,0.8570511574451926,0.007309789485818647,0.11161419270833332,0.004228425866250749,nan,nan,0.0,0.0,0.00023175571850515554,5.8871472289138475e-06,0.6500130972937024,4.171530231932634e-05,0.0,0.0,0.0,0.0
hole,er_gpis,64,0.7792793403897265,0.009159340826176459,0.6705314583333334,0.01197581131270864,0.5659732719835188,0.01492225364739162,0.8719882819896125,0.016475799321129275,1.3125,0.1144582650770334,0.010124540477314167,0.0026340848672186177,0.8482730814599065,0.00938796196236781,0.11289322916666666,0.005059026947308899,nan,nan,0.0,0.0,0.09598639500245554,0.003208968973978362,0.6500106218484301,3.280121866623477e-05,0.0,0.0,0.0,0.0
hole,ray_gpis_hit_only,64,0.7695959555813731,0.011397198204678364,0.6582320833333333,0.015207956022790904,0.5497990861897417,0.019315453037519775,0.8774637979102062,0.01869597782654395,1.421875,0.1295292290587555,0.012819662228751505,0.00324152045254167,0.8377578305359934,0.012119630117028395,0.11711302083333333,0.004128309122660218,nan,nan,0.0,0.0,0.12978279548551655,0.012755426879969221,0.6500112191589769,3.5055113355508827e-05,0.0,0.0,0.0,0.0
hole,ray_gpis,64,0.7821116583371872,0.010758899798921575,0.6747703645833334,0.014686929916079361,0.5715202677273702,0.018836040862412112,0.8711221805473752,0.027347961355305442,1.296875,0.11282072338449174,0.009735035589788821,0.0052719763838194504,0.8512077036786391,0.011897816880936996,0.11162981770833333,0.00538135372665003,nan,nan,0.875,0.035463596358331545,0.12964749386546828,0.013921502103712848,0.6500015992960434,2.7547080660306324e-05,0.0,0.0,0.0,0.0
